simulation_idx,step_idx,mse,scale
0,0,2.6430501748109236e-05,1
0,1,2.706312807276845e-05,1
0,2,2.7916883482248522e-05,1
0,3,2.8396698326105252e-05,1
0,4,2.892856537073385e-05,1
0,5,2.9995106160640717e-05,1
0,6,3.132987330900505e-05,1
0,7,3.214142634533346e-05,1
0,8,3.230894435546361e-05,1
0,9,3.19812934321817e-05,1
0,10,3.216815457562916e-05,1
0,11,3.201017898391001e-05,1
0,12,3.224204556318e-05,1
0,13,3.2054140319814906e-05,1
0,14,3.102210757788271e-05,1
0,15,3.0618117307312787e-05,1
0,16,3.020007352461107e-05,1
0,17,2.9889473807998e-05,1
0,18,2.9226841434137896e-05,1
0,19,2.8556742108776234e-05,1
0,20,2.8885149731650017e-05,1
0,21,2.8273285352042876e-05,1
0,22,2.87825423583854e-05,1
0,23,2.8910948458360508e-05,1
0,24,2.8854890842922032e-05,1
0,25,2.860141648852732e-05,1
0,26,2.833765211107675e-05,1
0,27,2.8352491426630877e-05,1
0,28,2.880427746276837e-05,1
0,29,2.9036635169177316e-05,1
0,30,2.8544152883114293e-05,1
0,31,2.8525988454930484e-05,1
0,32,2.8539176128106192e-05,1
0,33,2.8302150894887745e-05,1
0,34,2.757902620942332e-05,1
0,35,2.7316646082908846e-05,1
0,36,2.658169250935316e-05,1
0,37,2.5721490601426922e-05,1
0,38,2.531394420657307e-05,1
0,39,2.4953036700026132e-05,1
0,40,2.443093399051577e-05,1
0,41,2.430020504107233e-05,1
0,42,2.4543025574530475e-05,1
0,43,2.372931885474827e-05,1
0,44,2.2698568500345573e-05,1
0,45,2.2136036932352e-05,1
0,46,2.1968660803395323e-05,1
0,47,2.1664303858415224e-05,1
0,48,2.1037791157141328e-05,1
0,49,2.0762125132023357e-05,1
0,50,2.0840981960645877e-05,1
0,51,2.237501939816866e-05,1
0,52,2.3317070372286253e-05,1
0,53,2.405653322057333e-05,1
0,54,2.5382614694535732e-05,1
0,55,2.5914603611454368e-05,1
0,56,2.693739952519536e-05,1
0,57,2.8400374503689818e-05,1
0,58,2.9575965527328663e-05,1
0,59,3.110318721155636e-05,1
0,60,3.1746458262205124e-05,1
0,61,3.270472734584473e-05,1
0,62,3.358328467584215e-05,1
0,63,3.376877793925814e-05,1
0,64,3.467814531177282e-05,1
0,65,3.481181192910299e-05,1
0,66,3.479875158518553e-05,1
0,67,3.503742118482478e-05,1
0,68,3.5648830817081034e-05,1
0,69,3.6174456909066066e-05,1
0,70,3.6239918699720874e-05,1
0,71,3.646471304818988e-05,1
0,72,3.664273754111491e-05,1
0,73,3.6964516766602173e-05,1
0,74,3.600615309551358e-05,1
0,75,3.5642962757265195e-05,1
0,76,3.580317570595071e-05,1
0,77,3.5939912777394056e-05,1
0,78,3.595211455831304e-05,1
0,79,3.550791007000953e-05,1
0,80,3.474095501587726e-05,1
0,81,3.403939990676008e-05,1
0,82,3.314214700367302e-05,1
0,83,3.272249523433857e-05,1
0,84,3.2708812796045095e-05,1
0,85,3.268110958742909e-05,1
